;time;be_de;be_fr;de_fr
8110;20201203_2200;109.4;20.9;20.9
8111;20201203_2300;0.0;38.9;38.9
8112;20201204_0000;87.5;23.5;23.5
8113;20201204_0100;105.6;54.7;54.7
8114;20201204_0200;304.5;55.8;55.8
8115;20201204_0300;152.3;113.1;113.1
8116;20201204_0400;92.3;166.7;166.7
8117;20201204_0500;70.2;112.6;163.7
8118;20201204_0600;258.2;28.0;28.0
8119;20201204_0700;107.6;220.1;220.1
8120;20201204_0800;116.6;332.4;351.4
8121;20201204_0900;149.5;240.2;291.1
8122;20201204_1000;28.1;396.2;400.6
8123;20201204_1100;139.9;355.5;394.1
8124;20201204_1200;137.0;137.1;560.4
8125;20201204_1300;211.1;108.5;108.5
8126;20201204_1400;199.8;151.0;151.0
8127;20201204_1500;0.0;0.0;0.0
8128;20201204_1600;0.0;0.0;0.0
8129;20201204_1700;0.0;0.0;0.0
8130;20201204_1800;0.0;0.0;0.0
8131;20201204_1900;0.0;0.0;0.0
8132;20201204_2000;0.0;0.0;0.0
8133;20201204_2100;0.0;0.0;0.0
8134;20201204_2200;0.0;0.0;0.0
8135;20201204_2300;0.0;0.0;0.0
8136;20201205_0000;0.0;0.0;0.0
8137;20201205_0100;335.7;110.3;110.3
8138;20201205_0200;342.8;91.4;91.4
8139;20201205_0300;0.0;0.0;0.0
8140;20201205_0400;382.9;165.7;165.7
8141;20201205_0500;438.9;19.5;19.5
8142;20201205_0600;0.0;0.0;0.0
8143;20201205_0700;452.3;135.8;135.8
8144;20201205_0800;520.5;247.1;247.1
8145;20201205_0900;490.6;310.3;310.3
8146;20201205_1000;447.0;330.7;330.7
8147;20201205_1100;432.7;338.2;338.2
8148;20201205_1200;414.8;325.5;325.5
8149;20201205_1300;432.9;285.6;285.6
8150;20201205_1400;482.6;152.5;152.5
8151;20201205_1500;438.1;39.7;39.7
8152;20201205_1600;0.0;0.0;0.0
8153;20201205_1700;437.9;70.3;70.3
8154;20201205_1800;445.6;104.4;104.4
8155;20201205_1900;465.7;114.9;114.9
8156;20201205_2000;461.6;99.8;99.8
8157;20201205_2100;435.3;94.7;94.7
8158;20201205_2200;399.4;34.4;34.4
8159;20201205_2300;0.0;0.0;0.0
8160;20201206_0000;0.0;0.0;0.0
8161;20201206_0100;0.0;0.0;0.0
8162;20201206_0200;0.0;0.0;0.0
8163;20201206_0300;0.0;0.0;0.0
8164;20201206_0400;0.0;0.0;0.0
8165;20201206_0500;0.0;0.0;0.0
8166;20201206_0600;0.0;0.0;0.0
8167;20201206_0700;362.6;163.9;163.9
8168;20201206_0800;249.3;322.5;322.5
8169;20201206_0900;212.7;212.7;301.6
8170;20201206_1000;0.0;280.8;617.3
8171;20201206_1100;27.4;359.5;518.0
8172;20201206_1200;401.5;218.5;218.5
8173;20201206_1300;323.8;257.7;257.7
8174;20201206_1400;467.4;199.4;199.4
8175;20201206_1500;462.7;33.8;33.8
8176;20201206_1600;0.0;0.0;0.0
8177;20201206_1700;381.0;3.6;3.6
8178;20201206_1800;0.0;0.0;0.0
