;time;be_de;be_fr;de_fr
5053;20200729_1300;983.6;107.6;44.0
5054;20200729_1400;938.4;101.0;40.4
5055;20200729_1500;797.5;72.9;26.8
5056;20200729_1600;591.4;253.0;190.7
5057;20200729_1700;376.4;228.3;228.3
5058;20200729_1800;408.9;140.2;140.2
5059;20200729_1900;429.1;116.6;116.6
5060;20200729_2000;448.9;169.1;169.1
5061;20200729_2100;452.4;109.8;109.8
5062;20200729_2200;563.2;208.1;208.1
5063;20200729_2300;634.3;203.5;180.7
5064;20200730_0000;505.7;292.4;244.5
5065;20200730_0100;822.2;443.0;262.2
5066;20200730_0200;824.3;518.7;302.5
5067;20200730_0300;802.4;507.3;313.3
5068;20200730_0400;788.4;516.3;346.5
5069;20200730_0500;744.8;501.5;378.8
5070;20200730_0600;431.8;369.6;369.6
5071;20200730_0700;338.2;354.4;354.4
5072;20200730_0800;395.9;421.0;421.0
5073;20200730_0900;438.8;331.8;331.8
5074;20200730_1000;510.2;286.0;286.0
5075;20200730_1100;836.6;271.5;258.3
5076;20200730_1200;811.3;235.7;178.8
5077;20200730_1300;786.3;151.6;91.7
5078;20200730_1400;724.3;217.3;138.0
5079;20200730_1500;766.0;160.2;81.0
5080;20200730_1600;723.9;195.3;125.7
5081;20200730_1700;753.4;164.0;83.7
5082;20200730_1800;703.9;191.4;191.2
5083;20200730_1900;683.6;153.4;148.2
5084;20200730_2000;570.1;123.2;123.2
5085;20200730_2100;593.1;144.3;144.3
5086;20200730_2200;428.2;109.3;109.3
5087;20200730_2300;333.8;236.0;202.8
5088;20200731_0000;627.1;79.9;75.4
5089;20200731_0100;510.2;61.3;57.8
5090;20200731_0200;743.5;70.6;66.3
5091;20200731_0300;663.4;69.8;65.5
5092;20200731_0400;327.5;39.7;37.4
5093;20200731_0500;476.3;0.0;0.0
5094;20200731_0600;746.3;0.0;0.0
5095;20200731_0700;409.3;0.0;0.0
5096;20200731_0800;443.9;0.0;0.0
5097;20200731_0900;455.5;0.0;0.0
5098;20200731_1000;690.2;0.0;0.0
5099;20200731_1100;362.4;103.5;103.5
5100;20200731_1200;551.7;106.1;106.1
5101;20200731_1300;547.6;92.6;92.6
5102;20200731_1400;840.3;226.8;80.7
5103;20200731_1500;1036.3;18.1;6.5
5104;20200731_1600;990.5;18.7;7.1
5105;20200731_1700;817.9;150.3;112.3
5106;20200731_1800;553.1;68.2;68.2
5107;20200731_1900;487.2;48.9;48.9
5108;20200731_2000;853.1;153.9;138.6
5109;20200731_2100;975.9;114.0;69.7
5110;20200731_2200;204.8;140.2;151.0
5111;20200731_2300;218.6;143.5;195.1
5112;20200801_0000;478.3;171.9;161.2
5113;20200801_0100;299.9;37.6;35.6
5114;20200801_0200;452.2;73.4;69.5
