;time;be_de;be_fr;de_fr
2946;20200502_1800;196.4;315.4;524.9
2947;20200502_1900;272.2;227.9;315.6
2948;20200502_2000;261.7;188.7;281.0
2949;20200502_2100;314.0;331.8;331.8
2950;20200502_2200;573.7;230.1;230.1
2951;20200502_2300;661.3;113.5;113.5
2952;20200503_0000;704.6;214.5;198.3
2953;20200503_0100;781.0;134.4;114.8
2954;20200503_0200;722.4;71.1;71.1
2955;20200503_0300;850.6;143.5;143.5
2956;20200503_0400;789.5;160.8;106.6
2957;20200503_0500;825.1;230.4;204.5
2958;20200503_0600;547.2;156.5;156.5
2959;20200503_0700;435.1;463.8;463.8
2960;20200503_0800;0.0;0.0;0.0
2961;20200503_0900;402.0;337.4;337.4
2962;20200503_1000;0.0;0.0;0.0
2963;20200503_1100;0.0;0.0;0.0
2964;20200503_1200;0.0;0.0;0.0
2965;20200503_1300;0.0;0.0;0.0
2966;20200503_1400;291.7;51.1;51.1
2967;20200503_1500;279.7;169.5;171.4
2968;20200503_1600;248.3;262.3;305.2
2969;20200503_1700;161.7;239.3;690.3
2970;20200503_1800;290.4;439.8;439.8
2971;20200503_1900;362.3;500.0;500.0
2972;20200503_2000;326.2;118.0;176.5
2973;20200503_2100;327.9;483.2;483.2
2974;20200503_2200;282.5;420.1;420.1
2975;20200503_2300;389.8;445.3;445.3
2976;20200504_0000;425.7;233.9;233.9
2977;20200504_0100;308.8;55.9;55.1
2978;20200504_0200;494.5;237.8;237.8
2979;20200504_0300;465.8;242.3;242.3
2980;20200504_0400;442.0;265.7;265.7
2981;20200504_0500;440.8;267.3;267.3
2982;20200504_0600;600.6;160.3;119.0
2983;20200504_0700;163.1;34.9;44.5
2984;20200504_0800;379.5;125.2;125.2
2985;20200504_0900;532.4;62.8;51.7
2986;20200504_1000;642.3;0.0;0.0
2987;20200504_1100;601.5;0.0;0.0
2988;20200504_1200;399.0;0.0;0.0
2989;20200504_1300;694.6;0.0;0.0
2990;20200504_1400;664.8;0.0;0.0
2991;20200504_1500;475.4;0.0;0.0
2992;20200504_1600;271.3;202.2;176.3
2993;20200504_1700;308.9;152.6;152.6
2994;20200504_1800;251.9;139.5;206.7
2995;20200504_1900;346.0;205.0;285.6
2996;20200504_2000;358.8;294.6;391.8
2997;20200504_2100;401.6;92.8;116.1
2998;20200504_2200;88.7;19.1;24.3
2999;20200504_2300;1.0;0.2;0.3
3000;20200505_0000;0.0;0.0;0.0
3001;20200505_0100;0.0;0.0;0.0
3002;20200505_0200;0.0;0.0;0.0
3003;20200505_0300;0.0;0.0;0.0
3004;20200505_0400;164.2;34.5;43.6
3005;20200505_0500;257.6;73.3;102.4
3006;20200505_0600;245.6;314.5;331.9
3007;20200505_0700;230.8;338.9;417.2
3008;20200505_0800;280.8;410.1;478.1
3009;20200505_0900;349.3;377.7;424.8
3010;20200505_1000;351.8;331.0;361.8
3011;20200505_1100;347.9;305.3;326.9
3012;20200505_1200;320.7;256.1;259.8
3013;20200505_1300;362.9;255.5;255.5
3014;20200505_1400;380.9;313.0;313.0
3015;20200505_1500;277.9;399.4;399.4
3016;20200505_1600;330.6;473.5;526.1
3017;20200505_1700;344.4;500.0;500.0
3018;20200505_1800;442.6;505.2;494.8
3019;20200505_1900;496.6;524.3;475.7
3020;20200505_2000;472.6;508.6;491.4
3021;20200505_2100;386.5;500.0;500.0
3022;20200505_2200;271.6;439.9;560.1
3023;20200505_2300;261.1;421.4;578.6
3024;20200506_0000;265.8;175.8;257.1
3025;20200506_0100;331.1;160.9;229.1
3026;20200506_0200;365.8;206.8;274.4
3027;20200506_0300;357.2;189.1;240.2
3028;20200506_0400;354.7;220.8;281.1
3029;20200506_0500;330.7;186.0;236.2
3030;20200506_0600;305.0;94.8;125.1
